,ANN_IMPST,FLG_PRES_ADESIONE,FLG_PRES_RICORSO,PESO,PESO_ADESIONE,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIMB_NON_CONC,RIMB_NON_CONC_DEF,DEBITO_IMPOSTA_AUT,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,IMP_BEN_NO_AMM,IMP_IMPOR_IMPOST,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,COD_NATURA_GIUR,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_ESISTZ,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,imp_sps_prest_lavoro,imp_tot_neg,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,Target,Cluster
3746,0.8000000000000114,1.0,0.0,0.10231660231660232,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.000147670409949512,0.0,0.6541072288627131,0.49400225758447197,0.3920754716981132,0.1553921568627451,0.3967815839822567,0.08828873989598347,0.25252525252525254,0.9499999999999957,0.0,0.0,0.0,0.55,0.0,0.0004753985957553907,0.0,0.0,0.0,0.0,0.003643334711987838,0.013365610581331074,0.0,0.00013200300230084303,0.0010923928309474636,0.03312156029362849,0,3
6564,0.6000000000000227,1.0,1.0,0.10231660231660232,0.0,0.6000000000000001,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.009854907535004244,0.002330317183907831,0.0,0.6540339063035081,0.49391631639317546,0.4590566037735849,0.20674019607843142,0.3989446617677525,0.11460617833197571,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.35000000000000003,8.446047951189785e-05,0.0,0.0,0.0,0.0,0.000125257082391767,0.0037271394219798083,0.0,0.0,0.0017757985286270001,0.0011388717790060878,0.03312156029362849,0,4
7894,0.8000000000000114,0.0,0.0,0.15830115830115832,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099105964229088,0.0,0.0008926891514088476,9.89901386388269e-06,0.0031942321624040754,0.0007620358239938239,0.0,0.6541279525370797,0.49402670679328964,0.31245283018867925,0.18051470588235297,0.3941676111090801,0.09994360548906574,0.24242424242424243,0.0,0.0,1.0,0.0,0.5,0.0002322137048231224,0.0,0.0,0.0,0.0,0.0,0.0036655657298684256,0.0,0.0,0.0004299818726109631,0.0011063975634779735,0.03312156029362849,0,2
550,0.0,0.0,0.0,0.015444015444015444,0.0,0.6000000000000001,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.00026941331967153515,0.0,0.6541021679644421,0.49399417228526643,0.20339622641509433,0.24522058823529416,0.39068840712170516,0.0607807506736011,0.25252525252525254,0.10000000000000142,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0008168430945285029,0.0,0.00010301862214447576,0.0010825576210823542,0.03312156029362849,0,2
3076,0.8000000000000114,0.0,0.0,0.02316602316602317,0.0,0.4,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010193210240284953,0.0,0.0008043294090493882,9.89901386388269e-06,0.010085907348469184,0.002285608866207866,0.0,0.6540821321083937,0.4939636438661718,0.580754716981132,0.24460784313725495,0.40287476084280827,0.11974434488376468,0.020202020202020204,0.6999999999999957,0.0,1.0,0.0,0.10000000000000002,0.0,0.0,1.6432404096003547e-05,7.163921961596105e-05,0.0,6.974788488635611e-06,0.003675964653842241,0.0,0.0,0.00032371433936334646,0.0010897051971939932,0.03312156029362849,0,2
10839,0.0,1.0,0.0,0.07335907335907337,0.0,0.6000000000000001,0.38235294117647056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010028358450757375,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,9.525796084154014e-06,0.6541327791927924,0.4940188314968144,0.45716981132075474,0.23958333333333337,0.399535699923226,0.12964471458111412,0.24242424242424243,0.5,0.0,1.0,0.0,0.35000000000000003,0.00012869004498252036,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.0,0.0002018673820069675,0.0011053855804693449,0.033269891833405014,1,0
10919,0.8000000000000114,0.0,1.0,0.05791505791505792,0.0,0.8,0.32352941176470584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01037712969617472,0.0,0.001000433143636434,9.89901386388269e-06,0.0,0.003420934212707716,0.0,0.6540517465083067,0.49394869019670634,0.580754716981132,0.2450980392156863,0.4018511071302356,0.12438122689391568,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.4,0.00011264791709194768,0.0,0.0,0.0,3.501249908653689e-05,0.0,0.003648333530184132,0.0,0.0,0.0018510607055202326,0.0014891136656250495,0.03312156029362849,1,4
6026,0.4000000000000341,0.0,1.0,0.03474903474903475,0.0,0.6000000000000001,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01017277307302382,0.0,0.0008043294090493882,9.89901386388269e-06,0.016493531282218872,0.004445236673618062,0.0,0.6540433657932976,0.4939572840052959,0.2788679245283019,0.08627450980392158,0.3930647460973203,0.05301084027821293,0.020202020202020204,0.14999999999999858,0.0,1.0,0.0,0.45,0.00018224753416099172,0.0,0.0010837321719756941,0.004724232954920032,0.000249986426200343,0.0,0.0036722058221249276,0.0,0.0009366016427104723,0.0021028641070022476,0.0012527650736143408,0.03312156029362849,0,4
10929,1.0,1.0,0.0,0.03861003861003861,0.0,0.8,0.029411764705882346,0.0,0.333122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,0.0,0.652689275496428,0.4939960821067697,0.580754716981132,0.2450980392156863,0.3908712024275217,0.1339682937527414,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.00019843815332175202,0.0036354330375410375,0.0,0.0,0.0002821180444522669,0.0012981090601257193,0.03312156029362849,1,3
3081,0.0,0.0,0.0,0.06756756756756757,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009841519399544588,0.0,0.0008043294090493882,9.89901386388269e-06,0.00011206563720521315,0.0023928922084953284,0.0,0.6540966100876175,0.49398143664833544,0.580754716981132,0.24497549019607845,0.0,0.13415627545585562,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.4,0.0,0.0,7.69197811365074e-05,0.0,0.0,2.757390475040918e-05,0.0036331073757566805,0.0,0.0,0.0008344840959406008,0.0010838028717261026,0.03322864591315481,0,2
368,1.0,1.0,0.0,0.10231660231660232,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00996578279429803,0.0,0.0008043294090493882,9.89901386388269e-06,0.010161822780124327,0.002360233530324164,0.0,0.6541739949495198,0.49408019460515934,0.3292452830188679,0.21250000000000002,0.39475255608769305,0.11736324331098441,0.24242424242424243,0.0,0.0,1.0,0.0,0.35000000000000003,0.0003805168295669058,0.0,0.0,0.0,0.0,0.0,0.0036615571731984107,0.0,0.0,0.0007920435957822483,0.0011160227531624618,0.03312156029362849,0,0
